name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;531;0;169;3069;1154;3069;1016;0
header;180;135;180;175;1816;175;1816;135
A;987;195;987;223;1009;223;1009;195
D;671;339;671;357;686;357;686;339
B;986;864;986;893;1007;893;1007;864
B;908;1044;908;1055;915;1055;915;1044
C;978;1538;978;1569;1001;1569;1001;1538
B;853;2058;853;2069;860;2069;860;2058
D;979;2211;979;2240;1002;2240;1002;2211
A;1100;2227;1100;2234;1106;2234;1106;2227
A;861;2285;861;2297;868;2297;868;2285
A;945;2778;945;2805;962;2805;962;2778
